"","subj","rt_log","valenceE","t1","t2"
"159",6,6.44,-0.5,0,1
"160",6,6.5,-0.5,0,1
"161",6,6.88,-0.5,0,1
"162",6,6.86,-0.5,0,1
"163",6,7.08,-0.5,0,1
"164",6,6.69,-0.5,0,1
"165",6,6.3,0.5,1,0
"166",6,6.62,0.5,1,0
"167",6,6.71,0.5,1,0
"168",6,6.34,0.5,1,0
"169",6,6.31,0.5,1,0
"170",6,6.34,0.5,1,0
"171",6,6.51,0.5,1,0
"172",6,7.1,0.5,1,0
"173",6,7.15,0.5,1,0
"174",6,6.39,0.5,1,0
"175",6,6.77,0.5,1,0
"176",6,6.72,0.5,1,0
"177",6,6.47,0.5,1,0
"178",6,6.46,0.5,1,0
"179",6,6.34,0.5,0,1
"180",6,6.37,0.5,0,1
"181",6,6.33,0.5,0,1
"182",6,6.06,0.5,0,1
"183",6,6.64,0.5,0,1
"184",6,6.28,0.5,0,1
"185",6,6.41,0.5,0,1
"186",6,6.49,0.5,0,1
"187",6,6.74,0.5,0,1
"188",6,6.7,0.5,0,1
"189",6,6.35,0.5,0,1
"190",6,6.41,0.5,0,1
"191",7,7.69,-0.5,1,0
"192",7,6.98,-0.5,1,0
"193",7,7.25,-0.5,1,0
"194",7,7.22,-0.5,1,0
"195",7,7.19,-0.5,1,0
"196",7,7.06,-0.5,1,0
"197",7,6.88,-0.5,1,0
"198",7,7.01,-0.5,1,0
"199",7,6.87,-0.5,1,0
"200",7,7.57,-0.5,1,0
"201",7,7.15,-0.5,1,0
"202",7,7.15,-0.5,0,1
"203",7,7.33,-0.5,0,1
"204",7,7.36,-0.5,0,1
"205",7,7,-0.5,0,1
"206",7,6.5,-0.5,0,1
"207",7,6.82,-0.5,0,1
"208",7,6.91,-0.5,0,1
"209",7,7.01,-0.5,0,1
"210",7,8.08,-0.5,0,1
"211",7,7.27,-0.5,0,1
"212",7,6.81,-0.5,0,1
"213",7,7.22,0.5,1,0
"214",7,7.38,0.5,1,0
"215",7,7.29,0.5,1,0
"216",7,6.67,0.5,1,0
"217",7,7.49,0.5,1,0
"218",7,7.08,0.5,1,0
"219",7,7.37,0.5,1,0
"220",7,7.23,0.5,1,0
"221",7,7.76,0.5,1,0
"222",7,7.63,0.5,1,0
"223",7,7.1,0.5,1,0
"224",7,6.86,0.5,1,0
"225",7,8.11,0.5,0,1
"226",7,7.43,0.5,0,1
"227",7,6.68,0.5,0,1
"228",7,7.15,0.5,0,1
"229",7,7.08,0.5,0,1
"230",7,8.01,0.5,0,1
"231",7,7.02,0.5,0,1
"232",7,7.5,0.5,0,1
"233",7,6.46,0.5,0,1
"234",7,8,0.5,0,1
"235",10,7.49,-0.5,1,0
"236",10,6.98,-0.5,1,0
"237",10,7.26,-0.5,1,0
"238",10,6.89,-0.5,1,0
"239",10,7.31,-0.5,1,0
"240",10,7.76,-0.5,1,0
"241",10,7.42,-0.5,1,0
"242",10,7.1,-0.5,0,1
"243",10,7.42,-0.5,0,1
"244",10,6.75,0.5,1,0
"245",10,6.82,0.5,1,0
"246",10,6.54,0.5,1,0
"247",10,7.43,0.5,1,0
"248",10,6.85,0.5,1,0
"249",10,6.5,0.5,1,0
"250",10,7.07,0.5,1,0
"251",10,6.53,0.5,1,0
"252",10,6.32,0.5,1,0
"253",10,6.48,0.5,1,0
"254",10,6.53,0.5,1,0
"255",10,6.88,0.5,1,0
"256",10,6.43,0.5,1,0
"257",10,6.62,0.5,1,0
"258",10,7.27,0.5,1,0
"259",10,6.55,0.5,1,0
"260",10,7.24,0.5,1,0
"261",10,7.4,0.5,1,0
"262",10,6.95,0.5,1,0
"263",10,7.05,0.5,0,1
