id,valenceE,rtms,logrt,idcat
201,-0.5,907.7496793,6.774496546,201
201,0.5,906.4442771,6.785160925,201
202,0.5,796.2784486,6.63186847,202
202,-0.5,946.0784198,6.796306049,202
204,0.5,776.8886509,6.635467225,204
204,-0.5,864.8368517,6.759799338,204
205,0.5,656.3930513,6.47312115,205
205,-0.5,956.007862,6.820879341,205
206,0.5,1239.423767,7.041522013,206
206,-0.5,1102.438116,6.990501453,206
207,-0.5,1073.013564,6.954648138,207
207,0.5,1233.662764,7.097437555,207
208,0.5,842.3674106,6.690877453,208
208,-0.5,1439.821618,7.260223117,208
209,0.5,1225.869046,7.061677595,209
209,-0.5,1534.211636,7.32712785,209
210,0.5,727.9021592,6.566563334,210
210,-0.5,796.6897489,6.665040216,210
212,0.5,923.7790554,6.784329098,212
212,-0.5,1350.80111,7.184051013,212
302,-0.5,1161.730562,7.031896799,302
302,0.5,989.7350163,6.853523499,302
303,-0.5,1493.423462,7.304825643,303
303,0.5,879.526337,6.758676496,303
304,-0.5,897.0920443,6.768253953,304
304,0.5,648.3989462,6.464988655,304
305,0.5,598.0098884,6.383836975,305
305,-0.5,651.0441898,6.476515337,305
306,0.5,931.738019,6.819666841,306
306,-0.5,1358.732939,7.214307882,306
219,-0.5,840.848499,6.72531349,219
219,0.5,897.5439254,6.767458609,219
220,0.5,764.3239497,6.622188322,220
220,-0.5,1081.768672,6.975789004,220
221,0.5,1134.955498,7.008104711,221
221,-0.5,1409.28329,7.23979948,221
222,0.5,829.877004,6.702336136,222
222,-0.5,1323.900594,7.158204217,222
223,0.5,746.9971312,6.610750803,223
223,-0.5,792.30845,6.672939897,223
224,-0.5,792.9161122,6.667511076,224
224,0.5,702.6910415,6.549366525,224
226,-0.5,1228.781484,7.087688954,226
226,0.5,951.5105594,6.835201181,226
228,-0.5,910.3450775,6.788863318,228
228,0.5,915.2928294,6.768226237,228
229,0.5,925.9853581,6.826876457,229
229,-0.5,918.3184572,6.819169624,229
232,0.5,1045.156741,6.907252139,232
232,-0.5,1264.018059,7.086136436,232
234,0.5,1117.986075,6.979272486,234
234,-0.5,1344.218943,7.174514299,234
235,0.5,1082.580821,6.951365911,235
235,-0.5,1130.612699,7.016390139,235
236,0.5,894.3413934,6.746505379,236
236,-0.5,858.0311535,6.753928102,236
237,0.5,1024.53957,6.916838862,237
237,-0.5,1155.520256,7.002136078,237
238,-0.5,1211.189406,7.063528103,238
238,0.5,1031.928092,6.889523323,238
239,-0.5,1167.688116,7.024508241,239
239,0.5,1471.586764,7.289584569,239
240,0.5,862.5910283,6.708021411,240
240,-0.5,827.6932954,6.70975179,240
241,0.5,963.1504217,6.799393643,241
241,-0.5,1121.91234,6.959365103,241
242,0.5,696.840763,6.53672851,242
242,-0.5,766.3288458,6.625378531,242
243,-0.5,1169.674307,7.036263586,243
243,0.5,1006.072196,6.881347264,243
244,0.5,862.9560073,6.706105264,244
244,-0.5,785.4554057,6.64571753,244
245,-0.5,971.8048573,6.828659238,245
245,0.5,740.2518817,6.570588015,245
246,0.5,824.8543237,6.694941587,246
246,-0.5,1109.253611,6.93274056,246
247,-0.5,993.9349175,6.87573927,247
247,0.5,1291.894019,7.156117592,247
248,0.5,760.3924641,6.613771984,248
248,-0.5,1149.291992,7.040206412,248
249,-0.5,884.3278884,6.774593685,249
249,0.5,831.5563837,6.707465886,249
251,0.5,1328.36329,7.155795398,251
251,-0.5,1509.320497,7.30545569,251
252,-0.5,927.2278376,6.823975437,252
252,0.5,771.237265,6.627330355,252
254,0.5,1087.568675,6.951949185,254
254,-0.5,1339.14907,7.1721645,254
255,0.5,836.2809249,6.697762662,255
255,-0.5,1366.222143,7.185826691,255
256,0.5,842.2484227,6.720366691,256
256,-0.5,998.3010292,6.900734036,256
301,-0.5,1057.29376,6.952362448,301
301,0.5,910.1015518,6.786564515,301
262,0.5,1199.819565,7.050997208,262
262,-0.5,1213.529766,7.086126142,262
263,0.5,986.6250212,6.887873835,263
263,-0.5,1825.479031,7.508929881,263
264,-0.5,777.5966255,6.635533476,264
264,0.5,698.7781158,6.52707415,264
265,0.5,1146.94233,7.001378105,265
265,-0.5,1316.629436,7.164499988,265
266,0.5,858.8717777,6.725463394,266
266,-0.5,1256.242124,7.091121514,266
267,-0.5,1217.636824,7.086598807,267
267,0.5,796.8185701,6.653813469,267
268,0.5,714.0777532,6.548861316,268
268,-0.5,782.8363418,6.641285388,268
269,0.5,935.7582569,6.829336108,269
269,-0.5,1155.698776,7.037922975,269
270,0.5,1197.763244,7.079296906,270
270,-0.5,1022.917856,6.924090224,270
271,0.5,1113.805073,6.994550432,271
271,-0.5,1183.015909,7.044494441,271
273,0.5,1013.13713,6.891378142,273
273,-0.5,1414.92033,7.249147823,273
274,-0.5,1106.776416,6.972856476,274
274,0.5,1016.782098,6.889696049,274
